Site Code,Gravel,Sand,Silt,Canopy,Depth Mx,Width
SF,0.26436684356034484,0.20816178575862068,0.4215600406350575,0.6682532533018019,0.23705803571428571,3.0437905172413795
TR,0.1642959770086207,0.17195629158908046,0.6269661221982759,0.6856663560691986,0.33325862068965517,4.395475
AR,0.3983974358974358,0.3096153846153846,0.07852564102564102,0.6467274775225226,0.2699083333333333,4.157341091954023
PD,0.09405606060333334,0.4202898268333333,0.28310865801333335,0.07571351352162162,0.4147,4.241784615384615
MR,0.07132183907758621,0.62856321838793106,0.25959770114655173,0.4738847180543043,0.5082946428571429,6.918528869047619
GC,0.07764492752898551,0.7623913043550724,0.15996376811594204,0.626094074883316,0.3341176282051282,6.330494
PL,0.06145833333333334,0.4765306122380952,0.31022534014285713,0.4152968146633687,0.3001517857142857,3.602463392857143
WM,0.00652173913043478,0.7997826086956522,0.17467391304347826,0.650618118166917,0.5857,8.780223
EM,0.0921153846153846,0.45709935897115384,0.4213621794903846,0.07044401544087836,0.5902758620689655,5.478968518518519
