site_code,collection_period,z_richness,z_shannon,z_simpson,z_ln_density,z_ln_biomass,z_sqrt_centroid_dist
SF,2017-03-01,-3.625,-1.7400037631621408,-1.277615773706662,-0.30486825346875024,0.4468945841843053,0.19670279066439
SF,2017-09-01,0.375,-0.5231219374733844,-0.4167824955791972,-1.2704488386866812,0.8789365962895888,-0.06312064051169941
SF,2017-11-01,1.375,0.07807707814319365,0.2269548192904982,1.4381809244133064,1.2963546559991408,0.1024557387736249
SF,2017-12-01,-0.625,-1.1178319690834764,-1.004145321606047,-0.8037883650675749,-1.113793192069784,-0.14254818721381968
SF,2018-02-01,-1.625,-1.3973398681284919,-1.124224615726584,0.9599539051792192,0.46853396763908484,0.09195206386093324
SF,2018-04-01,-1.625,0.6761293650689377,0.8790946407605547,0.041572729395040586,-0.9997615945798144,-0.2291549550911744
SF,2018-05-01,-0.625,0.2953310136887555,0.3154691145438919,-0.5502075510385483,-1.768447011102668,0.014890996360918951
SF,2018-06-01,-1.625,-0.8484340524862284,-0.640216013568446,0.15051256880346858,0.1957593794792845,-0.2813426103611731
SF,2018-07-01,1.375,1.5922038705413262,0.9049946190863363,-0.9956382383884619,-1.178899096700867,0.009944243247600904
SF,2018-09-01,-0.625,-0.647105547336964,-0.6652899120152753,-1.3449504099461613,-3.550037447980224,-0.386160281558728
SF,2019-04-01,5.375,2.3015140444038518,1.604077758800238,0.734984474098509,0.4915748933853576,-0.026428969571751337
SF,2019-10-01,0.375,0.3470873738363065,0.05502096554265723,0.4239657214674922,0.6380281350756065,0.46184357273048415
SF,2020-01-01,-0.625,-1.6640123685399593,-1.2818058270084065,1.1473701175598428,0.4247765612601143,-0.3348307348705235
SF,2020-06-01,3.375,2.805849434055044,2.336651006358644,0.2869052745591821,3.5076939822919355,0.3009893928849161
SF,2020-09-01,-0.625,0.24167672774181126,0.3715183293569946,-0.36969960840690264,-0.19663332897571462,0.21828740779470712
SF,2020-11-01,-0.625,-0.4000194012685818,-0.2837012945291941,0.4561555495270199,0.4590189158046544,0.06652017286129353
TR,2017-04-01,-3.571428571428571,-0.9511773621547426,-0.5016876394369665,-0.6184735727437292,0.6540871773868185,-0.006996163420321833
TR,2017-10-01,-1.5714285714285712,-1.535683051911669,-1.1837144631095564,-0.0023679400733744305,0.15225844222039292,-0.06862170898137865
TR,2017-11-01,2.428571428571429,-0.2518229836849395,-0.38924717227482475,0.30377580208067084,-0.596527687721417,-0.012929406454035841
TR,2017-12-01,-2.571428571428571,-0.6952820473725567,-0.5498855214861931,0.5265814584769841,-0.6390609329228163,-0.12455629921452871
TR,2018-02-01,0.4285714285714288,-1.0812862722345198,-0.8753554300761861,2.3894349803713775,1.3874991385895192,0.07751174367921143
TR,2018-04-01,-0.5714285714285712,-0.48727314382964604,-0.33732008452672146,1.235026833605853,0.7533687118552598,0.08130069986495059
TR,2018-06-01,-1.5714285714285712,-0.03076377430654187,0.1893612384636687,0.8812096996824559,0.6935021515862069,-0.1484471452201186
TR,2018-07-01,2.428571428571429,-0.9916576537249226,-0.9358708164250165,-0.1375373347021357,-0.34087625067961413,0.013133956277904368
TR,2018-09-01,-2.571428571428571,-1.168650701305662,-0.9533443938974591,-1.7314710606002706,-1.835922858249182,0.23968384867374337
TR,2019-10-01,1.4285714285714288,3.420141753298363,3.253867916118589,-3.2015835162678608,-3.4059740374134666,0.27185464328881226
TR,2020-01-01,2.428571428571429,0.12402059306182833,-0.055723930195299864,0.2559296630297517,-0.18807285484824343,-0.20911516127695762
TR,2020-06-01,2.428571428571429,2.480925206748697,1.625226612283948,-1.4068858997269984,0.49792537827313776,-0.21319843146016876
TR,2020-09-01,1.4285714285714288,1.5876375073234317,1.102865074140544,-0.2461069813009102,1.4802603718780987,-0.16703253723599698
TR,2020-11-01,-0.5714285714285712,-0.4191280699071207,-0.38917138957852626,1.7524678681681862,1.3875332500453057,0.2674119614788848
AR,2017-03-01,-2.352941176470588,-1.818283012820077,-1.8059210544599824,0.14777949647666366,-0.24792232686870697,0.175705404019587
AR,2017-09-01,-0.35294117647058787,0.12172956346577646,0.061708842395206354,-0.21346493404140987,-1.118413552581199,0.06014645729668022
AR,2017-11-01,2.647058823529412,0.34978286808747505,-0.01037960510960323,1.1022703439020571,1.6457784719311248,-0.10924854303768616
AR,2017-12-01,-1.3529411764705879,-0.5923858807051614,-0.5654695504500964,0.4972859509367834,-0.024053398196355658,-0.07150784507848573
AR,2018-02-01,-2.352941176470588,-1.2635791905883575,-1.0620151770939863,0.5226037589210735,-0.959091687586348,0.00517896862249323
AR,2018-04-01,-3.352941176470588,-2.7905643651814733,-2.421257736501495,-0.6166405727043687,-1.8253838716382729,0.3832525373548733
AR,2018-05-01,-1.3529411764705879,-1.0854235882511123,-0.7815726204933502,0.5513531722070593,0.26951074886484294,-0.23614661390553515
AR,2018-06-01,1.6470588235294121,1.19560346876563,0.7278858440635005,-0.20790956813933636,1.860655666678443,-0.28926990557943677
AR,2018-07-01,-3.352941176470588,-1.3903536021046237,-1.06395018916654,-1.382179098710377,-2.6147692131234974,-0.36414718527896733
AR,2018-08-01,-3.352941176470588,-0.8123276850991505,-0.23600859168586474,-1.778270469669343,-1.1313991275008188,0.4529744312846681
AR,2018-09-01,3.647058823529412,1.543599782616485,0.8903425918093317,0.44615660441417915,2.618031604229762,-0.410056867087992
AR,2019-03-01,2.647058823529412,2.787140871165543,2.783575139051152,0.47955784764320264,0.5280761194917857,-0.2814681419573726
