site_code,collection_period,geographic_range,density
GC,2020-06-01,Local,0.00391955121138629
GC,2020-06-01,Restricted,0.03919551211386295
GC,2020-06-01,Unlimited,0.2704490335856544
GC,2020-09-01,Local,0.0084248296157193
GC,2020-09-01,Restricted,0.05686759990610527
GC,2020-09-01,Unlimited,0.37911733270736847
GC,2020-11-01,Restricted,0.1594189180437306
GC,2020-11-01,Unlimited,0.39589031314193096
MR,2017-04-01,Local,0.027331373812114743
MR,2017-04-01,Restricted,0.00911045793737158
MR,2017-04-01,Unlimited,0.06195111397412674
MR,2017-10-01,Local,0.2695970695970696
MR,2017-10-01,Unlimited,0.00879120879120879
MR,2017-11-01,Local,0.00670859538784067
MR,2017-11-01,Restricted,0.00894479385045422
MR,2017-11-01,Unlimited,0.9682739343116702
MR,2017-12-01,Local,0.02424242424242424
MR,2017-12-01,Restricted,0.26464646464646463
MR,2017-12-01,Unlimited,0.3656565656565656
MR,2018-02-01,Local,0.04421175101803373
MR,2018-02-01,Restricted,0.5863874345549738
MR,2018-02-01,Unlimited,0.7725421756835368
MR,2018-03-01,Local,0.02265122265122262
MR,2018-03-01,Restricted,0.02059202059202057
MR,2018-03-01,Unlimited,0.07413127413127413
MR,2018-04-01,Local,0.010062893081761
MR,2018-04-01,Restricted,0.0060377358490566
MR,2018-04-01,Unlimited,0.06842767295597482
MR,2018-06-01,Restricted,0.0149184149184149
MR,2018-06-01,Unlimited,0.03356643356643354
MR,2018-08-01,Local,0.00755697248789703
MR,2018-08-01,Unlimited,0.028338646829613873
MR,2019-03-01,Local,0.04339622641509433
MR,2019-03-01,Unlimited,0.16792452830188676
MR,2019-10-01,Unlimited,0.02248995983935742
MR,2020-01-01,Local,0.00929476007900546
MR,2020-01-01,Restricted,0.01115371209480654
MR,2020-01-01,Unlimited,0.040896944347624004
MR,2020-06-01,Local,0.02231494759157052
MR,2020-06-01,Restricted,0.012171789595402091
MR,2020-06-01,Unlimited,0.07505936917164628
MR,2020-09-01,Local,0.00409893811884358
MR,2020-09-01,Restricted,0.01639575247537434
MR,2020-09-01,Unlimited,0.11681973638704221
MR,2020-11-01,Restricted,0.06903587091524921
MR,2020-11-01,Unlimited,0.27121235002419336
PD,2017-03-01,Local,0.01775410563692854
PD,2017-03-01,Unlimited,0.15978695073235685
PD,2017-10-01,Local,0.00499609679937548
PD,2017-10-01,Restricted,0.0174863387978142
PD,2017-10-01,Unlimited,0.12989851678376266
PD,2017-11-01,Local,0.0202020202020202
PD,2017-11-01,Restricted,0.02272727272727272
PD,2017-11-01,Unlimited,0.10353535353535354
PD,2017-12-01,Local,0.07123897593972087
PD,2017-12-01,Restricted,0.02465964551759568
PD,2017-12-01,Unlimited,0.3918143676684647
PD,2018-02-01,Local,0.03989259685462217
PD,2018-02-01,Restricted,0.00920598388952819
PD,2018-02-01,Unlimited,0.16570771001150747
PD,2018-03-01,Local,0.0238627889634601
PD,2018-03-01,Restricted,0.01193139448173004
PD,2018-03-01,Unlimited,0.13721103653989558
PD,2018-04-01,Local,0.03176178660049627
PD,2018-04-01,Restricted,0.04234904880066169
PD,2018-04-01,Unlimited,0.10322580645161288
PD,2018-05-01,Local,0.04063492063492063
PD,2018-05-01,Restricted,0.00338624338624338
PD,2018-05-01,Unlimited,0.14222222222222222
PD,2018-06-01,Local,0.02032520325203252
PD,2018-06-01,Restricted,0.04878048780487803
PD,2018-06-01,Unlimited,0.451219512195122
PD,2018-08-01,Local,0.06245933636955107
PD,2018-08-01,Restricted,0.09021904142268489
PD,2018-08-01,Unlimited,0.3955757970071568
PD,2018-09-01,Local,0.05106382978723404
PD,2018-09-01,Restricted,0.11347517730496454
PD,2018-09-01,Unlimited,0.4425531914893617
PD,2019-03-01,Local,0.02018018018018018
PD,2019-03-01,Restricted,0.00576576576576576
PD,2019-03-01,Unlimited,0.07495495495495492
PD,2019-10-01,Local,0.01706666666666664
PD,2019-10-01,Restricted,0.03982222222222221
PD,2019-10-01,Unlimited,0.19342222222222216
PD,2020-01-01,Local,0.016531060312540348
PD,2020-01-01,Restricted,0.020663825390675447
PD,2020-01-01,Unlimited,0.16531060312540355
PD,2020-06-01,Local,0.00820137449910746
PD,2020-06-01,Restricted,0.0287048107468761
PD,2020-06-01,Unlimited,0.18863161347947155
PD,2020-09-01,Local,0.01571665530231591
PD,2020-09-01,Restricted,0.17602653938593818
PD,2020-09-01,Unlimited,0.5972329014880046
PL,2017-04-01,Local,0.06085011185682326
PL,2017-04-01,Restricted,0.8304250559284116
PL,2017-04-01,Unlimited,0.35436241610738256
PL,2017-10-01,Restricted,0.07203463203463203
PL,2017-10-01,Unlimited,0.22718614718614719
PL,2017-11-01,Local,0.05797101449275361
PL,2017-11-01,Restricted,0.463768115942029
PL,2017-11-01,Unlimited,2.314975845410628
PL,2017-12-01,Restricted,0.3267037920975868
PL,2017-12-01,Unlimited,0.7594802439671174
PL,2018-02-01,Restricted,0.9105691056910568
