predictor,PC1_r,PC2_r
ln_wk4_iqr,0.9293311226649142,0.028399951938428928
ln_wk4_max,0.8897209050328269,0.03709318179217207
sqrt_wk4_75q_30mu,0.871767666681592,-0.0940149855884398
sqrt_wk4_med_30mu,0.8399759222290032,-0.2758612004171907
ln_wk4_med,0.7869502350123398,-0.459281972499567
sand,0.7272575528170203,0.3236774008543957
ln_lf_days,-0.6669761805440386,0.14220202568870374
depth_mx,0.6072483939913038,0.5996987133708731
sqrt_ammonia,-0.6042361861585611,-0.4124666219431856
sqrt_bluegreen_cyano,-0.5844107542099855,-0.20043303082157574
ln_wk4_max_to_annual_med,0.5625896640559875,0.294044043861831
sqrt_conductivity,-0.5425060153487858,0.020091928073784293
sqrt_gravel,-0.5298698684708664,-0.5185194198703812
ln_flood_duration,0.5196976896098973,-0.6422853554818678
ln_lf_min,0.5022490221040645,-0.768953567787469
ln_wk4_min,0.5022490221040645,-0.768953567787469
sqrt_lf_drought_duration,-0.49066815308408385,0.6592302425096939
ln_wk4_max_to_wk4_med_30mu,0.47570747122470325,0.2785881596190241
ln_wk4_max_to_wk4_med,0.4734888484566505,0.43890734884079585
sqrt_q_q25_yr,0.47262564040209376,-0.6342408413671152
sqrt_q_med_yr,0.44894440736049734,-0.42300606595630125
sqrt_phosphate,-0.39383995694393453,-0.6424590491639995
ln_nitrate,-0.3599301971467244,-0.7093183079996969
doc,0.3529862087898827,0.05154775551162155
silt,-0.3380728470512762,0.3576780803552508
ln_flood_total_days,0.32963814451873064,-0.4880604905250473
sqrt_rain,0.2838478423257276,0.7248102594754138
sqrt_diatoms,-0.26090754312335945,-0.41225653142732077
width,0.24436999913113885,0.4122596476477176
sqrt_wk4_min_to_wk4_med_30mu,-0.2425073562597699,-0.642284678996509
wk4_min_to_wk4_med,-0.2185561575283558,-0.7312265892118002
temperature,-0.20977711118566705,0.0383147769407511
d_oxygen,0.13834112582256985,-0.19643953605923933
ph,-0.13083170003583272,-0.19998168841602754
ln_wk4_min_to_annual_med,0.12426294189638797,-0.4150598261020536
canopy,0.11835238564937643,0.00657815966648675
sqrt_green_algae,-0.06925730908592476,0.5052792889113852
ln_turbidity,-0.04923806740052745,-0.3016951111559556
