lowest_taxon,site_code,prob_present
H. cyanoguttatus,SF,0.875
H. cyanoguttatus,TR,0.42857142857142855
H. cyanoguttatus,WM,0
I. bubalus,AR,0
I. bubalus,EM,0.1875
I. bubalus,GC,0
I. bubalus,MR,0
I. bubalus,PD,0
I. bubalus,PL,0
I. bubalus,SF,0
I. bubalus,TR,0
I. bubalus,WM,0
I. punctatus,AR,0.47058823529411764
I. punctatus,EM,0.1875
I. punctatus,GC,0.058823529411764705
I. punctatus,MR,0.13333333333333333
I. punctatus,PD,0
I. punctatus,PL,0.5882352941176471
I. punctatus,SF,0
I. punctatus,TR,0
I. punctatus,WM,0.4
L. auritus,AR,0.23529411764705882
L. auritus,EM,0.1875
L. auritus,GC,0.5882352941176471
L. auritus,MR,0.06666666666666667
L. auritus,PD,0.875
L. auritus,PL,0.1764705882352941
L. auritus,SF,0
L. auritus,TR,0
L. auritus,WM,0.13333333333333333
L. cyanellus,AR,0.7058823529411764
L. cyanellus,EM,0.6875
L. cyanellus,GC,0.6470588235294118
L. cyanellus,MR,0.26666666666666666
L. cyanellus,PD,0.75
L. cyanellus,PL,0.7647058823529411
L. cyanellus,SF,0.3125
L. cyanellus,TR,0.14285714285714285
L. cyanellus,WM,0.7333333333333333
L. gulosus,AR,0.4117647058823529
L. gulosus,EM,0.75
L. gulosus,GC,0.7647058823529411
L. gulosus,MR,0.5333333333333333
L. gulosus,PD,0.625
L. gulosus,PL,0.8823529411764706
L. gulosus,SF,0.25
L. gulosus,TR,0
L. gulosus,WM,0.8
L. humilis,AR,0
L. humilis,EM,0.125
L. humilis,GC,0.23529411764705882
L. humilis,MR,0
L. humilis,PD,0
L. humilis,PL,0
L. humilis,SF,0
L. humilis,TR,0
L. humilis,WM,0.13333333333333333
L. macrochirus,AR,0.8823529411764706
L. macrochirus,EM,0.875
L. macrochirus,GC,1
L. macrochirus,MR,0.6
L. macrochirus,PD,0.9375
L. macrochirus,PL,0.9411764705882353
L. macrochirus,SF,0.4375
L. macrochirus,TR,0.2857142857142857
L. macrochirus,WM,0.8
L. marginatus,AR,0
L. marginatus,EM,0
L. marginatus,GC,0.058823529411764705
L. marginatus,MR,0
L. marginatus,PD,0.0625
L. marginatus,PL,0
L. marginatus,SF,0
L. marginatus,TR,0
L. marginatus,WM,0.06666666666666667
L. megalotis,AR,0.8823529411764706
L. megalotis,EM,1
L. megalotis,GC,0.9411764705882353
L. megalotis,MR,0.6666666666666666
L. megalotis,PD,0.6875
L. megalotis,PL,1
L. megalotis,SF,0.1875
L. megalotis,TR,0.07142857142857142
L. megalotis,WM,0.9333333333333333
L. microlophus,AR,0
L. microlophus,EM,0
L. microlophus,GC,0.4117647058823529
L. microlophus,MR,0.26666666666666666
L. microlophus,PD,0.25
L. microlophus,PL,0
L. microlophus,SF,0
L. microlophus,TR,0
L. microlophus,WM,0.2
L. miniatus,AR,0
L. miniatus,EM,0.0625
L. miniatus,GC,0.47058823529411764
L. miniatus,MR,0.06666666666666667
L. miniatus,PD,0
L. miniatus,PL,0
L. miniatus,SF,0
L. miniatus,TR,0
L. miniatus,WM,0.06666666666666667
L. oculatus,AR,0.23529411764705882
L. oculatus,EM,0.6875
L. oculatus,GC,0.29411764705882354
L. oculatus,MR,0.13333333333333333
L. oculatus,PD,0.3125
L. oculatus,PL,0.23529411764705882
L. oculatus,SF,0.1875
L. oculatus,TR,0
L. oculatus,WM,0.4
L. parva,AR,0
L. parva,EM,0
