predictor,PC1_r,PC2_r
ln_wk4_med,-0.9506945795914137,-0.1649929239424166
sqrt_q_med_yr,-0.9205445642595356,-0.13149210152302862
sqrt_lf_drought_duration,0.8737663268208139,0.2770675033859058
ln_lf_min,-0.8641883319832527,-0.27449511219883194
ln_wk4_min,-0.8641883319832527,-0.27449511219883194
sqrt_q_q25_yr,-0.8636851970681032,-0.2735780987853604
ln_wk4_max,-0.832811262724507,0.14362279363713798
sqrt_wk4_med_30mu,-0.6939975506646503,0.4542451049258193
ln_lf_days,0.6461916982342485,0.125173054490735
sqrt_wk4_75q_30mu,-0.6232383905309647,0.48064405562801804
ln_wk4_max_to_wk4_med_30mu,-0.5702882029149356,-0.04996258314981983
wk4_min_to_wk4_med,0.5293304003393271,-0.13906224988692353
sqrt_bluegreen_cyano,0.461992999425679,-0.38410125000171685
ln_flood_duration,-0.4544387348281691,0.1537988838407892
sqrt_wk4_min_to_wk4_med_30mu,-0.4225812779201693,-0.674813552156295
width,-0.37588457159089717,0.6915862796494101
canopy,-0.3608037384007741,0.030399726287741992
depth_mx,-0.31344635037410473,0.559340424029764
ln_nitrate,-0.30878578773923565,-0.8042474634423993
sqrt_ammonia,0.3031369033354822,-0.14457642655963604
sqrt_green_algae,0.28690593789623764,0.17347869331363064
ln_wk4_min_to_annual_med,0.2835746974964154,-0.20240531601139308
silt,0.19264694140563207,-0.14284466127905138
sqrt_diatoms,0.1901396218520082,-0.5604386853230111
ln_wk4_max_to_wk4_med,-0.18361379996438487,0.4056079336776224
ln_wk4_max_to_annual_med,-0.17414047546855774,0.32796399598714954
ln_wk4_iqr,-0.13767590731006624,0.6313445771176329
d_oxygen,-0.13014034807757624,-0.3374242999899444
sand,-0.12796880278623096,0.5887443151451953
sqrt_gravel,-0.12572437169615858,-0.49221626877611035
sqrt_rain,-0.1079313097216178,0.2335363466015036
sqrt_phosphate,-0.08803295376766634,-0.5688245625069777
ln_flood_total_days,-0.08555084053348448,0.21169414294659586
ln_turbidity,-0.07863985659223786,0.32882216117414503
doc,0.04767608063413572,0.45823581528353624
temperature,0.02695734087642476,0.11507794695485646
sqrt_conductivity,0.013274668647604036,-0.27369903945351276
ph,-0.00813997980024649,0.07510318573451392
