predictor,PC1_r,PC2_r
ln_wk4_med,0.948217683630225,0.1353132828002358
ln_lf_min,0.9339254632245876,0.2846932444321624
ln_wk4_min,0.9339254632245876,0.2846932444321624
ln_wk4_iqr,0.8659195093736054,-0.3569433354524962
sqrt_q_med_yr,0.8598167200205983,0.2473555409925035
sqrt_wk4_75q_30mu,0.8541374065616808,0.08799400072717943
sqrt_q_q25_yr,0.8250798239315807,0.3816274017381692
ln_wk4_max,0.8080423014035388,-0.42913924469678066
sqrt_wk4_med_30mu,0.79218565982854106,0.26807163256216754
sqrt_lf_drought_duration,-0.6921620695448709,-0.5241129921350531
sqrt_wk4_min_to_wk4_med_30mu,0.6522016548184228,0.17263005480522345
sand,0.5639417886088394,-0.1336377767512191
width,0.5243181271055259,-0.254973121583749
sqrt_conductivity,-0.47694407045569387,-0.08523770385196693
ln_wk4_max_to_wk4_med_30mu,0.46292127974544145,-0.6680840866796683
ln_flood_duration,0.44692637070789154,-0.42655262587017884
ln_wk4_min_to_annual_med,0.3874579662808906,0.1393691842848869
sqrt_gravel,-0.36175172566745045,0.3607424614701052
silt,-0.29898423510241695,-0.07552031767440048
ln_wk4_max_to_annual_med,0.28405457550086594,-0.7374439456866809
sqrt_rain,0.2741149285956676,-0.5571822060817033
ln_turbidity,0.25689146228102017,-0.36749071904101094
sqrt_bluegreen_cyano,-0.23792839546188924,0.17238519180728612
doc,-0.2346338646086905,-0.20378115959459214
d_oxygen,0.20727536603456415,0.013242131136140659
sqrt_ammonia,-0.16792977809825166,0.036074610945199335
wk4_min_to_wk4_med,0.1640087695289002,0.5288918484845178
ln_wk4_max_to_wk4_med,0.15471710270317438,-0.8265874378791797
depth_mx,0.15418914322287056,-0.1928261943261758
ln_nitrate,-0.1503018319629404,0.5386934961589619
canopy,0.15007338957665906,0.46378757855153446
temperature,0.13716859811194324,-0.18673457440619234
sqrt_diatoms,0.1295615754230853,0.3977185290373809
sqrt_phosphate,-0.11473130598820497,0.5009535664330688
ph,-0.0572758789627555,-0.012957740608861314
sqrt_green_algae,-0.04014630132478259,0.17154900487015018
ln_lf_days,-0.02476072355222628,-0.5229145111074703
ln_flood_total_days,0.019787440831875763,-0.6221394121523928
