site_code,collection_period,axis1,axis2,centroid_dist
AR,2017-03-01,-0.2513626408838172,0.8924824340317736,1.072136933908572
AR,2017-09-01,-0.23775335200330694,1.052457951449392,0.8461819875448435
AR,2017-11-01,-0.37856954560270895,0.8865885989209743,0.5632299971964834
AR,2017-12-01,-0.45266691295364375,0.6031879470450484,0.6213021266455889
AR,2018-02-01,-0.41907993156667644,0.5687077351864313,0.7480762596834549
AR,2018-04-01,-0.20472786723776915,1.0452411744723746,1.5450181424242686
AR,2018-05-01,-0.38600130721610665,0.583847847342641,0.3888625376839088
AR,2018-06-01,-0.4543137432746187,0.7268227932725508,0.32543048104741323
AR,2018-07-01,-0.40425973365810924,-0.07837263396331942,0.24560733170100785
AR,2018-08-01,-0.17604640526779483,-0.2492838287628987,1.723206182366587
AR,2018-09-01,-0.4135962426504242,0.719343237431075,0.20221046822538624
EM,2017-10-01,-0.37582010561608137,-0.5744667663023804,0.2862699712145962
EM,2017-11-01,-0.3803348543189921,-0.5306348574645534,1.1130647388642931
EM,2017-12-01,-0.41547091890354765,-0.7077343941826001,0.49129902349720656
EM,2018-02-01,-0.403731405291113,-0.6151929865352592,0.2123920435256879
EM,2018-03-01,-0.4220872533551616,-0.5277209438565665,0.48523308671710247
EM,2018-04-01,-0.30459360821921955,-0.2322057600682065,0.03899892793608696
EM,2018-05-01,-0.4687475251905784,-0.25268089475833216,0.20188567554289927
EM,2018-06-01,-0.30805533880301483,-0.2078112556754375,0.29884863222191127
EM,2018-07-01,-0.10316592288224231,-0.10173082916830536,0.2437062377097963
EM,2018-09-01,-0.37506648053646624,-0.3062238894370345,0.4049616683953719
GC,2017-04-01,-0.47824932972321865,-0.4329336993057536,0.7549747032174942
GC,2017-10-01,-0.07984921248727735,-0.8377229442251158,0.8011505955791962
GC,2017-11-01,-0.4704431466186174,-0.6439380813091521,0.6259749379755183
GC,2017-12-01,-0.4665203627353264,-0.6193662171966123,0.5972885336895758
GC,2018-02-01,-0.3606417137704422,-0.7096440017148031,0.8511344473648913
GC,2018-04-01,-0.4155023253786356,-0.6130130923963564,0.8059486667952553
GC,2018-05-01,-0.4178177129927532,-0.4754755579532923,0.8448234927047505
GC,2018-06-01,-0.3432739834152847,-0.514560421693958,0.5160671558544959
GC,2018-07-01,-0.49278779361965286,-0.3417181937585658,0.9527010284292752
GC,2018-08-01,-0.3789422897456034,-0.7805152069223407,1.0510365255700225
GC,2018-11-01,-0.4744833461826713,-0.39741644367365314,0.9651517864607608
MR,2017-04-01,-0.3027945063360545,0.027356869823095334,0.3494301965890067
MR,2017-10-01,-0.007027218019004763,0.0998274516506684,0.18320920874554303
MR,2017-11-01,0.3246189333892261,0.22831464325589224,0.46976187090402904
MR,2017-12-01,0.7633136032599459,-0.4332773145903814,0.3260908097874209
MR,2018-02-01,0.8905123721109268,-0.6329988462311781,0.18030449096144113
MR,2018-03-01,0.7724917998023197,0.07095262491928847,0.19105700062120798
MR,2018-04-01,0.3675820840391904,-0.3712736221732311,0.4916217787435398
MR,2018-06-01,0.58895051383609065,-0.1521529725425957,0.5330927259460685
MR,2018-08-01,0.28890427021615794,0.1909988267504917,0.39516720368925096
PD,2017-03-01,-0.35115291434832147,-0.3040176688061758,0.8656625707364579
PD,2017-10-01,-0.18697072522672778,0.16075619424763357,0.6426583443759416
PD,2017-11-01,-0.1236577746652533,0.16476696906425178,1.2485168390314285
PD,2017-12-01,-0.221974390383614,0.21130243737582244,0.9788893545592464
PD,2018-02-01,-0.18460979668552727,0.07842996473852756,0.505496106273296
PD,2018-03-01,-0.16303212195967234,0.1616280878332078,0.5907658128917375
PD,2018-04-01,-0.2381726840049493,0.03503756913399647,0.07633995425461948
PD,2018-05-01,-0.1441695513875488,-0.066142952850581,0.8884431091731616
PD,2018-06-01,-0.004045995245605597,0.1835053680286785,0.7265086512438872
PD,2018-08-01,0.033580021581048156,0.6484211445553544,0.7268913296840497
PD,2018-09-01,5.677921113587612e-4,0.63444121497785,1.4686632425223107
PL,2017-04-01,-0.34561751987878103,0.5774440798807957,0.3700380970192543
PL,2017-10-01,-0.4702236556865327,0.10637317785638833,0.19309086849665064
PL,2017-11-01,-0.373704945929668,0.04333449326394839,0.454844580832703
PL,2017-12-01,-0.49808977625369405,0.08913286290775128,0.9675984043757611
PL,2018-02-01,-0.4589692586122806,-0.0955897437242705,0.4329032511311342
PL,2018-03-01,-0.01798084320262536,0.7865569250161757,0.368573722661658
PL,2018-04-01,-0.3166566577184471,0.41325053249623284,0.3138875934603645
PL,2018-05-01,-0.31041623836048526,0.08221818170729718,0.6946349545721618
PL,2018-06-01,-0.35991343969094164,-0.006653774110164633,0.5634334066970125
PL,2018-08-01,-0.11772644191976958,0.10215540741258261,0.34840335133109146
PL,2018-10-01,-0.49090291799073554,0.020841024266183394,0.4201337152691838
SF,2017-03-01,1.046102901833812,0.49155859209766706,0.8412112024276159
SF,2017-09-01,0.810575427863762,1.171010765793922,0.4321119607176307
SF,2017-11-01,0.7830566109386767,1.1877170399263632,0.6772115040319658
SF,2017-12-01,0.9729166308209509,1.0816407944962214,0.3339969452194782
SF,2018-02-01,1.1105597023828104,0.7710694554635433,0.6600342819392949
SF,2018-04-01,0.6505812756024196,0.7621772161285133,0.24139329882031685
SF,2018-05-01,0.635232654677126,0.8181365396604812,0.5407600238967878
SF,2018-06-01,0.8840057729665258,0.9801266698145997,0.19283538967640193
SF,2018-07-01,0.8022164805523404,0.7031131807060306,0.5335091672190049
SF,2018-09-01,-0.1773051371033546,-0.007687910796688679,0.11176491040341566
