site_code,term,L_mu_com
SF,ln_rain,0.4514775863552795
SF,year,0.4153386570399585
SF,green_algae,-0.4113541650568002
SF,q_LFPP,0.31560632714339903
SF,phosphate,0.3001229599402368
SF,ph,-0.29758029473700875
SF,ln_q_q25,0.2179391537918046
SF,nday,-0.20546075939992944
SF,month,-0.20538293146572975
SF,qtr,-0.20474305555107764
SF,ln_q_HFPP7,-0.20468243776287406
SF,bluegreen_cyano,-0.2025407282685641
SF,d_oxygen,0.18510084386549577
SF,ln_q_HFPP15,-0.17864060493112996
SF,ln_q_med,0.1702731337262202
SF,ln_q_FS,-0.1646420273202604
SF,ln_q_CDC,-0.1598573829681345
SF,width,-0.15852941885762162
SF,gravel,-0.15528786623207333
SF,q_DS,-0.14277724246115264
SF,ammonia,0.12417063735078751
SF,temperature,0.12396536128585975
SF,ln_q_min,-0.12247195949932416
SF,ln_q_WCDC,-0.11898380617924963
SF,depth_mx,-0.11460173994554927
SF,canopy,-0.10386323871273564
SF,ln_q_rsd,-0.09881625688596692
SF,ln_q_q75,0.09114882601559127
SF,diatoms,-0.08122113246622491
SF,nitrate,0.07468243354526105
SF,doc,-0.07333003163688209
SF,q_HFPP3,-0.07055292257063941
SF,conductivity,0.063394000257611
SF,ln_q_sd,-0.06094695892234684
SF,silt,0.05531388056296178
SF,ln_q_max,-0.051373936828521316
SF,sand,0.03864931904103316
SF,turbidity,0.01847934599964932
SF,ln_q_mu,-0.0012916528300459045
TR,bluegreen_cyano,-0.7586559479887696
TR,temperature,0.7116815271049789
TR,diatoms,-0.5519353307678406
TR,phosphate,0.545405921545361
TR,d_oxygen,-0.5395020108681179
TR,canopy,0.5039749410056819
TR,year,0.3602632619130879
TR,gravel,-0.347921442503749
TR,nitrate,-0.34645233649018137
TR,conductivity,0.31986801522707037
TR,silt,0.280473831167843
TR,depth_mx,0.2789321961766538
TR,ln_q_q75,0.24783580645978956
TR,turbidity,0.24549773781080317
TR,doc,0.24393965545957488
TR,ln_q_max,0.2397829957631466
TR,q_DS,0.23658808654504207
TR,green_algae,0.23433808443876097
TR,width,0.20547215214338768
TR,ln_q_sd,0.19604904545531068
TR,ph,-0.19219951114585587
TR,ln_q_HFPP15,-0.173851792341432
TR,ln_q_med,0.16329099027247446
TR,q_LFPP,0.16292570364060915
TR,ln_rain,0.14403801848600645
TR,ln_q_HFPP7,-0.13682016254067575
TR,ln_q_mu,0.13641111736715872
TR,q_HFPP3,-0.12287717728166153
TR,ammonia,-0.09656558401492153
TR,qtr,-0.07400258646257188
TR,ln_q_CDC,-0.07375229479096262
TR,nday,-0.06832903126464475
TR,month,-0.06697485909112924
TR,ln_q_FS,-0.06373337059468841
TR,ln_q_min,0.041759473977932275
TR,ln_q_q25,0.024227110063559935
TR,ln_q_rsd,-0.022641462299693
TR,ln_q_WCDC,-0.012146304275163836
TR,sand,-0.00227912707956402
AR,q_DS,0.623063375621684
AR,temperature,0.6033907239317972
AR,canopy,-0.6005534680325741
AR,q_LFPP,-0.47422596257369165
AR,ph,0.4678585030969019
AR,turbidity,-0.4626372494543918
AR,ln_q_q75,-0.4311761874930324
AR,ln_q_min,-0.3748959675563667
AR,ln_q_q25,-0.372273480165257
AR,depth_mx,0.3717471894901195
AR,diatoms,-0.3465978898229174
AR,ln_q_mu,-0.32058993138764835
AR,ln_rain,-0.31064536461285086
AR,conductivity,0.30503559891238824
AR,ln_q_med,-0.2812102187922708
AR,ln_q_max,-0.2609131773258892
AR,ln_q_HFPP15,0.25161045771818175
AR,ln_q_HFPP7,0.23248857533971543
AR,silt,0.2324260348630805
AR,year,0.22799581626810736
AR,ln_q_sd,-0.19684770810963947
AR,width,0.18646404016175325
AR,nitrate,-0.18571881974331444
AR,ln_q_WCDC,-0.18280008909227666
AR,green_algae,-0.1793035327212848
AR,ln_q_CDC,-0.1637992939320758
AR,q_HFPP3,0.16223070970111714
AR,ln_q_FS,-0.16096054721407607
AR,ln_q_rsd,-0.14151694642147206
AR,bluegreen_cyano,-0.13846004248395888
AR,sand,-0.10627992139793312
AR,d_oxygen,0.07347659130642466
AR,qtr,-0.0631619675591847
AR,ammonia,0.04744954858124629
AR,gravel,0.036639682022619774
AR,doc,-0.035395237389121065
AR,phosphate,-0.03424516549983049
AR,month,0.02933386541427956
AR,nday,0.0272559026763005
PD,green_algae,-0.5324158183050046
PD,ph,-0.4630725235260838
PD,turbidity,0.40133522626931534
PD,q_DS,-0.36561322037366634
PD,depth_mx,0.3386453605070273
PD,canopy,-0.29700105064643967
PD,sand,-0.24374103815620132
PD,ln_q_WCDC,0.22859538179828043
PD,width,0.22526598567010755
PD,ln_q_med,-0.22309486453444083
PD,ln_q_HFPP7,0.22082492157228792
PD,ammonia,0.22006167150506303
PD,ln_q_FS,0.2195848738030695
PD,qtr,0.21929583740961797
PD,doc,0.21688452950735218
PD,ln_q_rsd,0.21338433051392589
PD,nday,0.21283702288974074
PD,q_HFPP3,0.21132435446746486
PD,month,0.21089305061237976
PD,ln_q_CDC,0.20489149101297074
PD,conductivity,-0.20307602198770167
PD,ln_q_HFPP15,0.20149911085081795
PD,ln_q_mu,-0.19550350137377473
PD,silt,-0.19191270058855678
PD,phosphate,-0.1852475605051767
PD,ln_q_q75,-0.1728026515936793
PD,ln_q_q25,-0.15291777118009464
PD,q_LFPP,-0.14712303872513935
PD,ln_q_max,-0.14593421105327417
PD,ln_rain,0.1234908093239114
PD,ln_q_sd,0.115639205776619
PD,d_oxygen,-0.11230286188776326
PD,gravel,0.08865804406376476
PD,temperature,0.06646407444564593
