site_code,collection_period,richness,shannon,simpson
TR,2017-12-01,3,1.5738076443311608,1.2861621775687617
TR,2018-02-01,6,1.8538907647196117,1.4222453712803176
TR,2018-04-01,5,2.1949227358772414,1.9905977452904777
TR,2018-06-01,4,3.1582378845102297,2.852162645770346
TR,2018-07-01,8,2.7673882843539626,1.8617255108833541
TR,2018-09-01,3,1.614060946698611,1.324409448818898
TR,2019-10-01,7,5.6295392479521755,4.840000000000001
TR,2020-01-01,8,3.3780285315045697,2.346298429989642
TR,2020-06-01,8,3.2740334411220937,2.4453488986482914
TR,2020-09-01,7,2.1993805181500767,1.5956087527001246
TR,2020-11-01,5,1.7864329346939234,1.356851839306876
WM,2017-10-01,9,5.289652367689777,3.8469217970049927
WM,2017-11-01,9,1.4205424069740884,1.1642564508716866
WM,2017-12-01,17,7.232220164532602,5.16140648167761
WM,2018-02-01,12,3.1405976342533974,2.0506109047198393
WM,2018-03-01,14,3.0939846170117695,2.0497228172188175
WM,2018-04-01,12,2.256859638312863,1.5436302327494036
WM,2018-05-01,8,1.7469059367381108,1.3690413007578284
WM,2018-06-01,8,1.9147459175878192,1.3842401415800698
WM,2018-09-01,12,3.498310029736934,2.5298139984947854
WM,2019-03-01,10,8.42616271488704,7.347826086956521
WM,2019-10-01,6,2.5562266736353276,1.7316017316017316
WM,2020-01-01,6,3.748461982346007,3.070578905630452
WM,2020-06-01,6,3.650364827596311,3.0595261405913456
WM,2020-09-01,7,4.817700805353673,3.693528693528694
WM,2020-11-01,9,4.519763176031497,3.3817857824731115
