site_code,qtr,collection_period,com,is_baseline,AFDM,AFDM_b_all,AFDM_sd20,AFDM_b_qtr,AFDM_b_qtr_fill,AFDM_RR_b_qtr,AFDM_RR_b_all,AFDM_LRR_b_qtr,AFDM_LRR_b_all
AR,1,2018-02-01,community,test,0.19569930662477983,1.764658882989322,2.3914907357261037,0.4999249708075144,0.4999249708075144,-0.5966086808829237,-0.8840907914211152,-0.5164938564157894,-0.12319551639080847
AR,2,2018-04-01,community,test,0.0822930903499008,1.764658882989322,2.3914907357261037,2.060895008304714,2.060895008304714,-0.9554332353983247,-0.9479938983009298,-0.045590391737537914,-0.053407213139253125
AR,2,2018-05-01,community,test,0.6685971877467682,1.764658882989322,2.3914907357261037,2.060895008304714,2.060895008304714,-0.6723169523199128,-0.6176182396226445,-0.3970253944153915,-0.4818847476399097
AR,2,2018-06-01,community,test,3.2823886576235584,1.764658882989322,2.3914907357261037,2.060895008304714,2.060895008304714,0.5898385212289392,0.855223383593414,-0.5279064723753969,-0.156392576809032
AR,3,2017-09-01,community,test,0.1668770754697681,1.764658882989322,2.3914907357261037,3.7705162335745426,3.7705162335745426,-0.9532135125094999,-0.9003317893003596,-0.04791635791436436,-0.10499192881612546
AR,3,2018-07-01,community,test,0.03737125424455353,1.764658882989322,2.3914907357261037,3.7705162335745426,3.7705162335745426,-0.9874696334262892,-0.9733068395855552,-0.012609533640400362,-0.0270558923622611
AR,3,2018-08-01,community,test,0.16472408983588965,1.764658882989322,2.3914907357261037,3.7705162335745426,3.7705162335745426,-0.9537830076527182,-0.9015449721010181,-0.047319088696380164,-0.10364535172498858
AR,4,2017-11-01,community,test,2.6477076075788095,1.764658882989322,2.3914907357261037,0.8754173819282132,0.8754173819282132,2.0016438143455013,0.49758786494339535,0.6939687501519564,-0.6979831250261724
AR,4,2017-12-01,community,test,0.49850699466814413,1.764658882989322,2.3914907357261037,0.8754173819282132,0.8754173819282132,-0.42568668173111124,-0.7134621196544599,-0.854051692211521,-0.337625934358345
EM,1,2018-02-01,community,test,2.059911891944244,1.8433895849955506,2.561107782422846,1.3179472373691954,1.3179472373691954,0.5587305230928898,0.11682503705728606,-0.5820879916612149,-2.1470778731923073
EM,1,2018-03-01,community,test,2.630436643442401,1.8433895849955506,2.561107782422846,1.3179472373691954,1.3179472373691954,0.98835960431183,0.42465279011953655,-0.011708675480464196,-0.8564834083796429
EM,2,2018-04-01,community,test,0.08225074868845932,1.8433895849955506,2.561107782422846,0.39607778520781944,0.39607778520781944,-0.7728249314567948,-0.9502259268988603,-0.2577027354023536,-0.05105550487344408
EM,2,2018-05-01,community,test,4.176941134257772,1.8433895849955506,2.561107782422846,0.39607778520781944,0.39607778520781944,9.310687476082965,1.25907233328271,2.2311629313213763,0.23037520637667308
EM,2,2018-06-01,community,test,0.5166116925936928,1.8433895849955506,2.561107782422846,0.39607778520781944,0.39607778520781944,0.29682467688841285,-0.7158656243366356,-1.2146136279900823,-0.33426280514223544
EM,3,2018-07-01,community,test,1.1045899159669235,1.8433895849955506,2.561107782422846,1.116265798976165,1.116265798976165,-0.010366898311087487,-0.39862081615744094,-4.569137403593728,-0.9197446493923114
EM,4,2017-10-01,community,test,1.03222188156292,1.8433895849955506,2.561107782422846,3.8196116185351565,3.8196116185351565,-0.7278518070817911,-0.43766713161635573,-0.31765781320778264,-0.8262966310105684
EM,4,2017-11-01,community,test,1.7208267151702725,1.8433895849955506,2.561107782422846,3.8196116185351565,3.8196116185351565,-0.5480411886173665,-0.06612903774657411,-0.6014048331480986,-2.7161473283378585
EM,4,2017-12-01,community,test,1.2133974492000152,1.8433895849955506,2.561107782422846,3.8196116185351565,3.8196116185351565,-0.6805426839424593,-0.33991349735411824,-0.38486473447496117,-1.0790641132887844
GC,1,2018-02-01,community,test,0.9947882291742552,1.1222884731042875,1.3043234438770106,0.12052682359770368,0.12052682359770368,6.697944387822613,-0.11260402888362624,1.9018006715341125,-2.1838777834226373
GC,2,2018-04-01,community,test,0.17180130422462372,1.1222884731042875,1.3043234438770106,0.4579648513636454,0.4579648513636454,-0.6115064973472766,-0.8394390576756501,-0.49182969865007137,-0.17502139869618924
GC,2,2018-05-01,community,test,1.9401397514958454,1.1222884731042875,1.3043234438770106,0.4579648513636454,0.4579648513636454,3.1672782599230596,0.7222993943843065,1.152872626002823,-0.32531555238019877
GC,2,2018-06-01,community,test,0.527248937172494,1.1222884731042875,1.3043234438770106,0.4579648513636454,0.4579648513636454,0.14805403783415652,-0.5255193796157177,-1.910177951357234,-0.6433682109136915
GC,3,2018-07-01,community,test,0.026288255014233132,1.1222884731042875,1.3043234438770106,1.3469041252080989,1.3469041252080989,-0.9732565814046237,-0.9679514047204374,-0.02710753021839334,-0.03257339470079465
GC,3,2018-08-01,community,test,0.8731714328180498,1.1222884731042875,1.3043234438770106,1.3469041252080989,1.3469041252080989,-0.3491276086417646,-0.220011990056966,-1.0523177828026713,-1.5140732338559242
GC,4,2017-10-01,community,test,0.02015619555471467,1.1222884731042875,1.3043234438770106,1.93669889598762,1.93669889598762,-0.9845090601238485,-0.9733670382848301,-0.015612178178569126,-0.02699404461264223
GC,4,2017-11-01,community,test,0.29093198050253155,1.1222884731042875,1.3043234438770106,1.93669889598762,1.93669889598762,-0.8454142131981538,-0.7342267561220552,-0.16792857859645935,-0.30893736603090355
GC,4,2017-12-01,community,test,1.210025293827747,1.1222884731042875,1.3043234438770106,1.93669889598762,1.93669889598762,-0.37328505381989713,0.07748627916605012,-0.9854129318489504,-2.557654401315509
MR,1,2018-02-01,community,test,0.7841925818370749,0.7662398629109493,0.930025764776358,0.20057356013405267,0.20057356013405267,2.7715683836635807,0.02312779822824578,1.0194133634551892,-3.7667199984394153
MR,1,2018-03-01,community,test,0.06553418178112032,0.7662398629109493,0.930025764776358,0.20057356013405267,0.20057356013405267,-0.6412931341758447,-0.9026922148807685,-0.4442686189881006,-0.10237363097491736
MR,2,2018-04-01,community,test,0.7306225400436867,0.7662398629109493,0.930025764776358,2.5203033988742503,2.5203033988742503,-0.707298919025602,-0.045884428987832904,-0.3463019032523998,-3.081629457207621
MR,2,2018-06-01,community,test,0.04744184109724675,0.7662398629109493,0.930025764776358,2.5203033988742503,2.5203033988742503,-0.9772984373641506,-0.9259998824566466,-0.022963210570221958,-0.07688117127263251
MR,3,2018-08-01,community,test,0.010457195787500964,0.7662398629109493,0.930025764776358,0.675861641161656,0.675861641161656,-0.9701729991010254,-0.9736457804282491,-0.030280873798419705,-0.026707716610438678
MR,4,2017-10-01,community,test,0.02011987631505029,0.7662398629109493,0.930025764776358,0.500063508580842,0.500063508580842,-0.9409487724404098,-0.9611977202483536,-0.060866580368109116,-0.03957514689921349
MR,4,2017-11-01,community,test,0.2057464101779036,0.7662398629109493,0.930025764776358,0.500063508580842,0.500063508580842,-0.5770204953924691,-0.7220621865916023,-0.5498774924940144,-0.32564401278507404
MR,4,2017-12-01,community,test,0.14963017455296768,0.7662398629109493,0.930025764776358,0.500063508580842,0.500063508580842,-0.6870386297637537,-0.7943545775215095,-0.37536475869905184,-0.23022534623245708
PD,1,2018-02-01,community,test,0.28213813075055844,1.1870719371398168,1.124908026810401,0.3346104656875448,0.3346104656875448,-0.15226564530562625,-0.7559560777537156,-1.8821286170435552,-0.27977200269974123
PD,1,2018-03-01,community,test,0.6495904185361451,1.1870719371398168,1.124908026810401,0.3346104656875448,0.3346104656875448,0.9140173738489699,-0.4489968413158903,-0.08990569912115358,-0.80073942619583
PD,2,2018-04-01,community,test,0.9550643647412412,1.1870719371398168,1.124908026810401,0.7970142079129865,0.7970142079129865,0.19584556910960352,-0.1938125564558092,-1.630428843024084,-1.640863790830655
PD,2,2018-05-01,community,test,0.03910378439966,1.1870719371398168,1.124908026810401,0.7970142079129865,0.7970142079129865,-0.9391537547688944,-0.9589800889351859,-0.06277607008044785,-0.041884966634170025
PD,2,2018-06-01,community,test,0.7677291334814433,1.1870719371398168,1.124908026810401,0.7970142079129865,0.7970142079129865,-0.036288177016458076,-0.35030710406620674,-3.316263292789705,-1.0489450690351256
PD,3,2018-08-01,community,test,3.260610420908211,1.1870719371398168,1.124908026810401,2.2122374268703453,2.2122374268703453,0.4717646194602736,1.7321753350285138,-0.751275105366756,0.5493780377120067
PD,4,2017-10-01,community,test,0.38035848770461417,1.1870719371398168,1.124908026810401,1.2317216298101346,1.2317216298101346,-0.6856312410662428,-0.6739055727617306,-0.37741534525388193,-0.3946652776447618
PD,4,2017-11-01,community,test,0.7938059636987387,1.1870719371398168,1.124908026810401,1.2317216298101346,1.2317216298101346,-0.35266814686827624,-0.32852325849415104,-1.042227758071785,-1.1131476414507302
