Year Qtr,Site Code,Bluegreen Cyano,Green Algae,Diatoms
2020 Q3,AR,0.5058333333333334,0.03833333333333334,0.37333333333333335
2020 Q3,EM,0.21166666666666667,0.365,0.18166666666666667
2020 Q3,GC,0.34375,0.47,0.36250000000000004
2020 Q3,MR,0.25333333333333335,0.12000000000000001,0.23583333333333334
2020 Q3,PD,1.0508333333333333,0.13166666666666665,0.19
2020 Q3,PL,0.3575,0.07250000000000001,0.52625
2020 Q3,SF,0.13916666666666666,0.059166666666666666,0.4116666666666667
2020 Q3,TR,0.37916666666666665,0.050833333333333335,0.24166666666666667
2020 Q3,WM,0.12916666666666665,0.05583333333333333,0.20666666666666667
2020 Q4,AR,0.3066666666666667,0.11499999999999999,0.3925
2020 Q4,EM,0.33333333333333337,0.057499999999999996,0.19333333333333333
2020 Q4,GC,0.2758333333333333,0.11416666666666667,0.4083333333333333
2020 Q4,MR,0.215,0.1225,0.30083333333333334
2020 Q4,PD,NA,NA,NA
2020 Q4,PL,0.2583333333333333,0.03666666666666667,0.6991666666666667
2020 Q4,SF,0.3,0.11,0.8516666666666666
2020 Q4,TR,0.39083333333333337,0.08583333333333333,0.49416666666666664
2020 Q4,WM,0.07250000000000001,0.04,0.1825
