predictor,PC1_r,PC2_r
ln_wk4_med,-0.9079239671753208,-0.2433403371001634
sqrt_q_med_yr,-0.8919183984919238,-0.06875271346425608
sqrt_wk4_med_30mu,-0.8803064555840074,-0.03447519972416998
sqrt_wk4_75q_30mu,-0.8701147273460659,0.052713282321111235
sqrt_q_q25_yr,-0.8199409767054975,-0.2169911415416374
ln_wk4_iqr,-0.8186167037648349,0.22678731707728078
ln_lf_min,-0.7856462174768957,-0.549091018830588
ln_wk4_min,-0.7856462174768957,-0.549091018830588
sqrt_lf_drought_duration,0.7755257508780169,0.30259688265965856
ln_wk4_max,-0.7446007058919033,0.3930308956134869
ln_lf_days,0.6277387377885101,-0.021669798134972704
ln_flood_duration,-0.6256769971029805,0.21281809854990083
width,-0.5608331782846595,0.2645459349754356
silt,0.4921051743600321,0.24987787162458386
sand,-0.47962602264703325,0.1580516556318269
sqrt_green_algae,0.37841087862023326,-0.4189163149068194
ln_wk4_max_to_wk4_med_30mu,-0.33689758654596436,0.48251632641216013
depth_mx,-0.3354476652555661,0.3583258195025102
sqrt_bluegreen_cyano,0.3267821420916566,-0.5238458690341159
wk4_min_to_wk4_med,0.29916560913004586,-0.5136512178919018
sqrt_rain,-0.29575394437354835,0.365345247660538
sqrt_wk4_min_to_wk4_med_30mu,-0.2842393901795697,-0.6968282569244835
sqrt_conductivity,0.23620702571153565,-0.17454770284298862
ln_wk4_max_to_annual_med,-0.2284215313518258,0.5206120122393328
d_oxygen,-0.18948182061719,-0.3150312029728394
canopy,-0.17638662373914743,-0.07056814583672924
ln_nitrate,-0.15674432231125573,-0.20617629844625504
ln_wk4_min_to_annual_med,-0.13682854143976983,-0.6804902236881625
sqrt_gravel,0.0986595098816056,-0.370693808172106
doc,-0.08542618579878744,0.31772637178576607
ln_turbidity,-0.08450059949364111,0.36934405676461557
ln_flood_total_days,-0.07134000579010781,0.263184713373332
sqrt_diatoms,0.06011520203623085,-0.5058154003836886
sqrt_ammonia,-0.05755285474627133,0.10355793374204982
temperature,0.05161325001399616,0.21122896988913473
ln_wk4_max_to_wk4_med,-0.04945346024051136,0.7274004888968976
sqrt_phosphate,0.011918172715217803,-0.1880933083559849
ph,0.011119903506915978,0.020836170366512308
