month,2017,2018,2019,2020
1,NA,NA,NA,9
2,NA,9,NA,NA
3,3,5,7,NA
4,4,9,1,NA
5,NA,7,NA,NA
6,NA,9,NA,9
7,NA,5,NA,NA
8,NA,5,NA,NA
9,2,6,1,8
10,7,1,8,1
11,9,1,NA,8
12,9,NA,NA,NA
